,comments,likes,username,date,channel
78,Amazing year for post-hardcore. The Moon is a Dead World and The Loser are both legendary.,3,J. Roseboom (VultureNY),14 hours ago,https://www.youtube.com/channel/UCzN4UNqyWoR_SxuxyWwWwSA
79,"Big W for screamo, thank you melon",,Heedun,19 hours ago,https://www.youtube.com/channel/UCVR2vaMVsM7-b6BLOpWTaZw
80,Is this the year of good screamo?,1,naJay,2 hours ago,https://www.youtube.com/channel/UCIEkjK_Kz4-gQ-tJNx__dGg
81,"Going to listen to it tomorrow mornin', it always excites me when you rate something a high score of a genre I'm interested in. Thanks Anthony!",,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
82,Would've converted to Jehovah Witness if it scored higher,,LeBeautiful,19 hours ago,https://www.youtube.com/channel/UCICzS_WWCTSs6dvP8LFsRxw
83,don’t listen to them fantano. you’re not a loser!,,thomward,19 hours ago,https://www.youtube.com/channel/UCv1k-lFflbDllddikXQkJPA
84,"It looks like, they should have named this album: ""The Winner"" 😆",,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
85,"They're not ""The Refused"", it's just ""Refused"" btw",,gimple,11 hours ago,https://www.youtube.com/channel/UCyNqyAe-bwis9KCzNXomgwQ
86,Beck finally on a rebound,,Squal,19 hours ago,https://www.youtube.com/channel/UC2h0iKa6Vhm1G2pHI5YG6Lw
87,Fantano in begging you to do a review over sosmula’s new recent project “2high2die”,,SCUMBAG GRAND,12 hours ago,https://www.youtube.com/channel/UCUk4WkEi9AvdhcnjDjHRJtw
88,finally an album about me,1,Digression,19 hours ago,https://www.youtube.com/channel/UCjzDKdC1enKlrbgAJuejiVA
89,Papa can you do the new Artifical Brain album?,,profchaos100,19 hours ago,https://www.youtube.com/channel/UCPoKIwzGCbfL1tg_yCRrqRA
90,Not a 10/10 boys we leave,5,Mo zuma,19 hours ago,https://www.youtube.com/channel/UC9xOEdyu_Jmk92xH2Z_zlHg
91,Man the first gospel album was such a monumental classic,,Ziya C,14 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
92,"Moon is a dead world also ""The Refused?""",,mrstuprigge,19 hours ago,https://www.youtube.com/channel/UCrESWe3s1UsT82a8zwpFnyg
93,Played a house show with these guys back in like 2004 in my old grind band. I had never heard them before then and was impressed! Super nice guys too. I'll def give this one a listen.,1,Ziya C,13 hours ago,https://www.youtube.com/channel/UCJBmSFpOAja7OLC7X1aeXzA
